adjective,noun,tone,key,instrument,maj_min
abandoned,people,dark,C,guitar,major
abdominal,history,funky,C#,mandolin,minor
abhorrent,way,warm,Db,erebus,major
abiding,art,lo-fi,D,organelle,
abject,world,energetic,Eb,vocals,
able,information,tense,E,piano,
able-bodied,map,spacey,F,strings,
abnormal,two,bubbly,F#,brass,
abounding,family,gritty,Gb,winds,
abrasive,government,soft,G,organ,
abrupt,health,simple,G#,percussion,
absent,system,jazzy,Ab,bass,
absentminded,computer,syncopated,A,digital synth,
absolute,meat,4 on the floor,A#,samples,
absorbed,year,consonant,Bb,,
absorbing,thanks,dissonant,B,,
abstracted,music,lush,C,,
absurd,person,improvised,D,,
abundant,reading,uplifting,E,,
abusive,method,dynamic,F,,
abysmal,data,experimental,G,,
academic,food,mellow,A,,
acceptable,understanding,,B,,
accepting,theory,,C,,
accessible,law,,D,,
accidental,bird,,E,,
acclaimed,literature,,F,,
accommodating,problem,,G,,
accompanying,software,,A,,
accountable,control,,B,,
accurate,knowledge,,,,
accusative,power,,,,
accused,ability,,,,
accusing,economics,,,,
acerbic,love,,,,
achievable,internet,,,,
aching,television,,,,
acid,science,,,,
acidic,library,,,,
acknowledged,nature,,,,
acoustic,fact,,,,
acrid,product,,,,
acrimonious,idea,,,,
acrobatic,temperature,,,,
actionable,investment,,,,
active,area,,,,
actual,society,,,,
ad hoc,activity,,,,
adamant,story,,,,
adaptable,industry,,,,
adaptive,media,,,,
addicted,thing,,,,
addictive,oven,,,,
additional,community,,,,
adept,definition,,,,
adequate,safety,,,,
adhesive,quality,,,,
adjacent,development,,,,
adjoining,language,,,,
adjustable,management,,,,
administrative,player,,,,
admirable,variety,,,,
admired,video,,,,
admiring,week,,,,
adopted,security,,,,
adoptive,country,,,,
adorable,exam,,,,
adored,movie,,,,
adoring,organization,,,,
adrenalized,equipment,,,,
adroit,physics,,,,
adult,analysis,,,,
advanced,policy,,,,
advantageous,series,,,,
adventurous,thought,,,,
adversarial,basis,,,,
advisable,boyfriend,,,,
aerial,direction,,,,
affable,strategy,,,,
affected,technology,,,,
affectionate,army,,,,
affirmative,camera,,,,
affordable,freedom,,,,
afraid,paper,,,,
afternoon,environment,,,,
ageless,child,,,,
aggravated,instance,,,,
aggravating,month,,,,
aggressive,truth,,,,
agitated,marketing,,,,
agonizing,university,,,,
agrarian,writing,,,,
agreeable,article,,,,
aimless,department,,,,
airline,difference,,,,
airsick,goal,,,,
ajar,news,,,,
alarmed,audience,,,,
alarming,fishing,,,,
alert,growth,,,,
algebraic,income,,,,
alien,marriage,,,,
alienated,user,,,,
alike,combination,,,,
alive,failure,,,,
all,meaning,,,,
all-around,medicine,,,,
alleged,philosophy,,,,
allowable,teacher,,,,
all-purpose,communication,,,,
all-too-common,night,,,,
alluring,chemistry,,,,
allusive,disease,,,,
alone,disk,,,,
aloof,energy,,,,
alterable,nation,,,,
alternating,road,,,,
alternative,role,,,,
amazed,soup,,,,
amazing,advertising,,,,
ambiguous,location,,,,
ambitious,success,,,,
ambulant,addition,,,,
ambulatory,apartment,,,,
amiable,education,,,,
amicable,math,,,,
amphibian,moment,,,,
amused,painting,,,,
amusing,politics,,,,
ancient,attention,,,,
anecdotal,decision,,,,
anemic,event,,,,
angelic,property,,,,
angered,shopping,,,,
angry,student,,,,
angular,wood,,,,
animal,competition,,,,
animated,distribution,,,,
annoyed,entertainment,,,,
annoying,office,,,,
annual,population,,,,
anonymous,president,,,,
another,unit,,,,
